phase,sl,ref,tp,hold_h,score,seconds,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,param_stop_loss_pct,param_stop_loss_ref,param_max_hold_bars,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,avg_hold_bars,median_hold_bars,max_hold_bars_seen,tp_exits,sl_exits,time_exits
refine,0.0,wap,0.015,0.0,29.429271069460185,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.015,0.001,10000.0,0,0.0,wap,0,16178.114015995105,61.78114015995104,152.72041464275054,333,99.69969969969969,1.1143767125373194,80.14552683033125,1.2593941818173442,4713.548093795338,8809.75075075075,122.0,1944763.0,332,0,0
refine,0.0,wap,0.015,6.0,-298.7069015981973,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.015,0.001,10000.0,0,0.0,wap,360,129.30984018026837,-98.70690159819732,152.72041464275054,11615,66.66379681446406,0.3993696193579835,98.93453304050092,0.8461899735940932,16435.582944097816,252.57399913904433,360.0,360.0,5466,0,6148
refine,0.0,wap,0.015,12.0,-296.0845222065159,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.015,0.001,10000.0,0,0.0,wap,720,391.54777934841127,-96.08452220651589,152.72041464275054,7509,75.80237048874685,0.5466560525884165,97.70770973049027,0.8899012353283885,19935.280780200097,390.68411239845517,361.0,720.0,4890,0,2618
refine,0.0,wap,0.015,24.0,-293.0332126687081,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.015,0.001,10000.0,0,0.0,wap,1440,696.6787331291962,-93.03321266870805,152.72041464275054,5279,83.17863231672665,0.6465152365175906,95.55465510329397,0.8890831229759987,16560.19641264631,555.7202121613942,310.0,1440.0,4184,0,1094
refine,0.0,wap,0.015,48.0,-111.80301895423086,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.015,0.001,10000.0,0,0.0,wap,2880,2384.0571823427904,-76.15942817657209,152.72041464275054,3760,88.82978723404256,0.725502406558173,89.04395817198379,0.9341625582027302,21674.294478082273,780.2252659574468,301.0,2880.0,3293,0,466
refine,0.0,wap,0.015,72.0,-112.61934787593673,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.015,0.001,10000.0,0,0.0,wap,4320,2309.680385905654,-76.90319614094346,152.72041464275054,3200,90.875,0.7498841764252691,89.21398228019152,0.922420477007589,17580.95197391445,916.7646875,280.5,4320.0,2894,0,305
refine,0.0,wap,0.02,0.0,51.01732753058655,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.02,0.001,10000.0,0,0.0,wap,0,18351.05840092031,83.51058400920309,152.72041464275054,221,99.5475113122172,1.52572689877581,80.12693946200137,1.330120011215304,3844.3658126864284,13274.420814479638,221.0,1944791.0,220,0,0
refine,0.0,wap,0.02,6.0,-296.31791360239066,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.02,0.001,10000.0,0,0.0,wap,360,368.20863976093403,-96.31791360239066,152.72041464275054,10041,62.71287720346579,0.42847551695283603,96.93894024438025,0.8716791935767216,18242.356039944752,292.16681605417784,360.0,360.0,3300,0,6740
refine,0.0,wap,0.02,12.0,-292.89266496965195,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.02,0.001,10000.0,0,0.0,wap,720,710.733503034804,-92.89266496965196,152.72041464275054,6096,70.45603674540682,0.6189404951607216,96.0968181471831,0.9072258453111844,20331.39518505109,481.2413057742782,676.0,720.0,3125,0,2970
refine,0.0,wap,0.02,24.0,-123.68957993800203,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.02,0.001,10000.0,0,0.0,wap,1440,1353.2943497914828,-86.46705650208517,152.72041464275054,4045,77.45364647713227,0.7765551616200158,92.99587086832528,0.9187853901351579,18224.13836703444,725.2526576019777,587.0,1440.0,2796,0,1248
refine,0.0,wap,0.02,48.0,-95.64223997836267,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.02,0.001,10000.0,0,0.0,wap,2880,3871.817227473803,-61.28182772526196,152.72041464275054,2750,83.81818181818181,0.8961628394163703,85.81213223881237,0.959579427069048,23684.791665040808,1066.7807272727273,572.5,2880.0,2226,0,523
refine,0.0,wap,0.02,72.0,-91.29798398577508,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.02,0.001,10000.0,0,0.0,wap,4320,4202.280854283524,-57.97719145716476,152.72041464275054,2288,86.75699300699301,0.9489772525520761,83.19513229034861,0.9546381576710673,18700.32634948265,1282.1883741258741,515.0,4320.0,1951,0,336
refine,0.0,wap,0.025,0.0,41.393551244290116,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.025,0.001,10000.0,0,0.0,wap,0,17433.553591369728,74.33553591369729,152.72041464275054,154,99.35064935064936,1.9044164903287986,80.7674903531716,1.3104122559375218,2826.2107877078965,19049.655844155845,361.0,1974558.0,153,0,0
refine,0.0,wap,0.025,6.0,-294.24362683714605,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.025,0.001,10000.0,0,0.0,wap,360,575.6373162853971,-94.24362683714604,152.72041464275054,9242,60.87426963860636,0.4336109392245842,96.35820367496329,0.9026691737458622,23613.763410651518,317.42555723869293,360.0,360.0,2057,0,7184
refine,0.0,wap,0.025,12.0,-119.8540316981665,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.025,0.001,10000.0,0,0.0,wap,720,1656.959039904592,-83.43040960095408,152.72041464275054,5308,66.74830444611906,0.6561044566002183,91.01299823788156,0.9258843916884274,22618.19943637347,552.6840617935192,720.0,720.0,2073,0,3234
refine,0.0,wap,0.025,24.0,-114.1323564049114,,0.05,"[8, 4, 2, 1]","[2, 3, 4]","[0.02, 0.08, 0.2, 0.4]",0.025,0.001,10000.0,0,0.0,wap,1440,2172.890886420981,-78.27109113579019,152.72041464275054,3341,72.82250823106854,0.8538518587321245,89.579990295421,0.9386983386088548,20444.061761898716,878.0745285842562,970.0,1440.0,1955,0,1385
