entry_time,exit_time,p0,avg_entry,exit_price,qty,cost_quote,proceeds,pnl,pnl_pct,fills,hold_bars,max_dd_from_p0,reason
2021-01-01 00:00:00+00:00,2021-01-01 01:14:00+00:00,736.42,733.0132940728904,741.8094536017651,2.215921611700648,1625.9259259259263,1642.1478084000005,16.221882474074164,0.009977012000000052,2,75,0.00962765812987143,take_profit
2021-01-01 01:15:00+00:00,2021-01-01 12:30:00+00:00,743.43,733.3732743034377,742.173753595079,7.5952060788596265,5575.696847910569,5631.325642270535,55.62879435996638,0.009977012000000082,4,676,0.024655986441225037,take_profit
2021-01-01 12:31:00+00:00,2021-01-02 06:50:00+00:00,742.38,731.4306478528739,740.2078156271084,8.432101908860549,6173.671433392718,6235.266227367735,61.59479397501673,0.009977012000000061,5,1100,0.03783776502599751,take_profit
2021-01-02 06:51:00+00:00,2021-01-02 12:22:00+00:00,739.89,729.8811615409259,738.639735479417,7.720860131359402,5640.951312083709,5697.231151015784,56.27983893207511,0.009977012000000035,4,332,0.022814202111124622,take_profit
2021-01-02 12:23:00+00:00,2021-01-02 12:38:00+00:00,737.54,737.54,746.39048,0.6901005765403502,509.48626548705687,514.5694160716565,5.08315058459965,0.009977012000000193,1,16,0.00414892751579568,take_profit
2021-01-02 12:39:00+00:00,2021-01-02 12:46:00+00:00,746.56,746.56,755.5187199999999,0.6821028217333778,509.7404230162868,514.8261093336054,5.085686317318562,0.009977011999999985,1,8,0.0014600300042862172,take_profit
2021-01-02 12:47:00+00:00,2021-01-02 13:16:00+00:00,753.65,753.65,762.6938,0.6760229717041341,509.99470733215276,515.0829306471421,5.088223314989364,0.009977011999999976,1,30,0.006024016453260749,take_profit
2021-01-02 13:17:00+00:00,2021-01-02 15:35:00+00:00,765.29,758.3400207757832,767.4401010250925,4.45628586020621,3382.762674486092,3416.512538282592,33.749863796499994,0.009977012000000049,3,139,0.016059271648656018,take_profit
2021-01-02 15:36:00+00:00,2021-01-02 16:35:00+00:00,767.49,767.49,776.69988,0.6663600503928905,511.93661168772724,517.0442094057751,5.107597718047828,0.009977012000000065,1,60,0.005837209605336901,take_profit
2021-01-02 16:36:00+00:00,2021-01-02 17:00:00+00:00,777.4,773.8037190900097,783.0893637190899,2.150295821507347,1665.5724763023952,1682.189912885334,16.617436582938808,0.009977012000000058,2,25,0.010869565217391217,take_profit
2021-01-02 17:01:00+00:00,2021-01-02 19:32:00+00:00,783.36,776.2459181159005,785.5608691332914,4.377157219149812,3401.1515758924807,3435.0849059789784,33.93333008649779,0.009977011999999882,3,152,0.014501633986928122,take_profit
2021-01-02 19:33:00+00:00,2021-01-03 05:06:00+00:00,785.44,773.8555565203283,783.1418231985722,8.145925980188625,6310.0801629352045,6373.0359084417705,62.95574550656602,0.009977011999999926,5,574,0.04496842534121008,take_profit
2021-01-03 05:07:00+00:00,2021-01-03 06:09:00+00:00,783.67,783.67,793.07404,0.6601623768489892,517.8673171824297,523.0340856203667,5.16676843793698,0.009977012000000141,1,63,0.0010591192721425182,take_profit
2021-01-03 06:10:00+00:00,2021-01-03 07:22:00+00:00,793.94,793.9399999999999,803.46728,0.6519479179141021,518.1256556043265,523.2950014877988,5.1693458834722605,0.009977012000000052,1,73,0.00013854951255764118,take_profit
2021-01-03 07:23:00+00:00,2021-01-03 08:35:00+00:00,805.15,797.8380322853061,807.4120886727297,4.303201786611542,3436.694740697463,3470.982685365739,34.28794466827594,0.009977012000000134,3,73,0.016953362727442065,take_profit
2021-01-03 08:36:00+00:00,2021-01-03 08:56:00+00:00,807.81,807.81,817.5037199999999,0.643193847082584,520.098520131914,525.2875493084524,5.189029176538384,0.009977012000000068,1,21,0.0031690620319133776,take_profit
2021-01-03 08:57:00+00:00,2021-01-03 10:06:00+00:00,817.3,817.3,827.1075999999999,0.6360425958878627,520.3579715907409,525.5495893175973,5.191617726856407,0.009977011999999856,1,70,0.0052612259880092434,take_profit
2021-01-03 10:07:00+00:00,2021-01-03 12:14:00+00:00,826.93,823.1045914935708,832.9818465914936,2.054754885898683,1692.9711521291829,1709.8619456296299,16.89079350044699,0.00997701200000018,2,128,0.012625010581306691,take_profit
2021-01-03 12:15:00+00:00,2021-01-03 13:21:00+00:00,833.47,833.4700000000001,843.4716400000002,0.6250262517666549,521.462092152106,526.6647257030528,5.202633550946757,0.009977012000000172,1,67,0.0056390751916686205,take_profit
2021-01-03 13:22:00+00:00,2021-01-03 13:35:00+00:00,843.74,843.7399999999999,853.8648799999999,0.6177264342164929,521.7222238296533,526.9274527174684,5.20522888781511,0.009977011999999948,1,14,0.0008651954393533768,take_profit
2021-01-03 13:36:00+00:00,2021-01-03 13:38:00+00:00,860.49,860.49,870.81588,0.606004140418564,521.9824852740442,527.1903107934131,5.207825519368953,0.009977011999999983,1,3,0.004055828655765911,take_profit
2021-01-03 13:39:00+00:00,2021-01-03 13:43:00+00:00,878.98,870.9975453246456,881.4495158685413,3.971095659174946,3462.276848238972,3496.8200259011746,34.54317766220265,0.009977012000000072,3,5,0.016428132608250535,take_profit
2021-01-03 13:44:00+00:00,2021-01-03 14:20:00+00:00,879.09,871.1065463599202,881.5598249162393,3.9837303016200116,3473.727271945517,3508.384690622445,34.657418676928046,0.009977012000000104,3,37,0.019099295862767266,take_profit
2021-01-03 14:21:00+00:00,2021-01-03 14:24:00+00:00,882.51,882.51,893.10012,0.5950949036958245,525.702906366969,530.9478505722271,5.2449442052580935,0.009977011999999936,1,4,0.0020622995773418276,take_profit
2021-01-03 14:25:00+00:00,2021-01-03 14:28:00+00:00,889.92,889.92,900.59904,0.5904341833239559,525.9651535772321,531.2127142260539,5.247560648821832,0.009977011999999895,1,4,0.0,take_profit
2021-01-03 14:29:00+00:00,2021-01-03 14:32:00+00:00,902.88,902.8800000000001,913.7145600000001,0.5822493621279278,526.2275316096732,531.4777100072732,5.2501783976000524,0.009977011999999931,1,4,0.006368509657983342,take_profit
2021-01-03 14:33:00+00:00,2021-01-03 14:36:00+00:00,913.06,908.8361509548808,919.7421847663394,1.8819184776786202,1712.0676132775836,1729.1489324000652,17.081319122481545,0.009977011999999844,2,4,0.009911725406873542,take_profit
2021-01-03 14:37:00+00:00,2021-01-03 15:00:00+00:00,917.46,903.9283954027557,914.7755361475887,7.144795212736381,6464.848120250337,6529.347987524252,64.49986727391479,0.009977011999999959,5,24,0.029930460183550275,take_profit
2021-01-03 15:01:00+00:00,2021-01-03 15:58:00+00:00,918.07,904.529398521361,915.3837513036174,7.183713184422071,6504.384150005273,6569.278468722485,64.89431871721172,0.009977011999999893,5,58,0.04199026218044383,take_profit
